steps_today,avg_last_7_days,days_goal_reached_last_7,trend,recommendation_type
4969,12852,4,-7883,LIGHT_WALK
14044,9774,0,4270,HOME_WORKOUT
12437,9682,5,2755,RECOVERY_DAY
3753,1999,7,1754,MODERATE_WALK
12853,7476,3,5377,HOME_WORKOUT
6775,5310,3,1465,MODERATE_WALK
8227,9631,7,-1404,RECOVERY_DAY
13139,7073,0,6066,HOME_WORKOUT
7743,9155,4,-1412,HOME_WORKOUT
6006,5272,4,734,MODERATE_WALK
10577,3183,1,7394,HOME_WORKOUT
13687,10852,4,2835,HOME_WORKOUT
5777,13922,7,-8145,LIGHT_WALK
6892,7720,0,-828,MODERATE_WALK
12779,2926,5,9853,HOME_WORKOUT
550,4088,3,-3538,LIGHT_WALK
7411,9593,5,-2182,RECOVERY_DAY
5729,3875,7,1854,MODERATE_WALK
7538,6643,5,895,HOME_WORKOUT
8793,6069,0,2724,HOME_WORKOUT
9028,8956,4,72,HOME_WORKOUT
10007,2135,7,7872,HOME_WORKOUT
3664,3872,7,-208,MODERATE_WALK
5544,12879,3,-7335,LIGHT_WALK
13771,1673,5,12098,HOME_WORKOUT
7271,5161,0,2110,HOME_WORKOUT
8362,11794,6,-3432,RECOVERY_DAY
8714,6141,0,2573,HOME_WORKOUT
4876,6584,1,-1708,LIGHT_WALK
10075,4363,3,5712,HOME_WORKOUT
5829,12695,3,-6866,LIGHT_WALK
8020,8431,2,-411,HOME_WORKOUT
997,8426,6,-7429,LIGHT_WALK
708,1314,2,-606,LIGHT_WALK
10106,4240,5,5866,HOME_WORKOUT
8225,9127,4,-902,HOME_WORKOUT
1297,6072,5,-4775,LIGHT_WALK
8443,6117,1,2326,HOME_WORKOUT
7587,9824,6,-2237,RECOVERY_DAY
10509,2138,7,8371,HOME_WORKOUT
1421,7192,0,-5771,LIGHT_WALK
2964,3817,6,-853,LIGHT_WALK
10111,5787,5,4324,HOME_WORKOUT
2466,5463,5,-2997,LIGHT_WALK
3279,10603,3,-7324,LIGHT_WALK
1321,3497,4,-2176,LIGHT_WALK
11652,9382,7,2270,RECOVERY_DAY
5360,5850,4,-490,MODERATE_WALK
1899,5036,0,-3137,LIGHT_WALK
832,9985,1,-9153,LIGHT_WALK
10574,11009,0,-435,HOME_WORKOUT
7955,1229,0,6726,HOME_WORKOUT
12947,2118,4,10829,HOME_WORKOUT
1089,4715,3,-3626,LIGHT_WALK
655,10647,5,-9992,LIGHT_WALK
13276,7107,1,6169,HOME_WORKOUT
3339,13072,7,-9733,LIGHT_WALK
3037,8517,5,-5480,LIGHT_WALK
6717,13395,0,-6678,LIGHT_WALK
2443,6181,5,-3738,LIGHT_WALK
9654,4046,3,5608,HOME_WORKOUT
13109,5569,4,7540,HOME_WORKOUT
7957,12619,7,-4662,RECOVERY_DAY
13275,5530,2,7745,HOME_WORKOUT
13912,13468,5,444,RECOVERY_DAY
14243,6617,2,7626,HOME_WORKOUT
13949,8415,5,5534,HOME_WORKOUT
12534,2837,3,9697,HOME_WORKOUT
10068,7760,1,2308,HOME_WORKOUT
14994,10458,5,4536,RECOVERY_DAY
1667,13189,0,-11522,LIGHT_WALK
2789,9023,7,-6234,LIGHT_WALK
13929,4508,3,9421,HOME_WORKOUT
6901,13134,5,-6233,LIGHT_WALK
13558,11802,4,1756,HOME_WORKOUT
8689,12948,3,-4259,HOME_WORKOUT
3271,2894,7,377,MODERATE_WALK
14166,1181,5,12985,HOME_WORKOUT
2708,12004,5,-9296,LIGHT_WALK
10374,4944,6,5430,HOME_WORKOUT
3884,1570,6,2314,MODERATE_WALK
12904,7201,4,5703,HOME_WORKOUT
13347,7442,5,5905,HOME_WORKOUT
1314,12071,6,-10757,LIGHT_WALK
5003,10653,5,-5650,LIGHT_WALK
9110,1012,7,8098,HOME_WORKOUT
12568,4775,0,7793,HOME_WORKOUT
13811,9727,6,4084,RECOVERY_DAY
6468,10149,4,-3681,LIGHT_WALK
4431,9670,6,-5239,LIGHT_WALK
6430,12178,4,-5748,LIGHT_WALK
11559,9037,4,2522,HOME_WORKOUT
8770,10202,4,-1432,HOME_WORKOUT
1590,8194,3,-6604,LIGHT_WALK
10309,4787,6,5522,HOME_WORKOUT
8732,11956,0,-3224,HOME_WORKOUT
8985,4779,2,4206,HOME_WORKOUT
3406,3918,1,-512,MODERATE_WALK
13468,10570,5,2898,RECOVERY_DAY
11980,8670,3,3310,HOME_WORKOUT
11296,4437,6,6859,HOME_WORKOUT
7174,7494,7,-320,HOME_WORKOUT
12492,1676,1,10816,HOME_WORKOUT
830,7145,6,-6315,LIGHT_WALK
12208,6009,5,6199,HOME_WORKOUT
1820,13119,2,-11299,LIGHT_WALK
6179,2321,6,3858,MODERATE_WALK
13787,3336,0,10451,HOME_WORKOUT
11943,2732,2,9211,HOME_WORKOUT
3593,3872,0,-279,MODERATE_WALK
13154,1841,0,11313,HOME_WORKOUT
3493,13708,4,-10215,LIGHT_WALK
3790,1792,1,1998,MODERATE_WALK
4914,13029,1,-8115,LIGHT_WALK
6701,3079,4,3622,MODERATE_WALK
2561,6151,3,-3590,LIGHT_WALK
3607,12322,0,-8715,LIGHT_WALK
7091,8719,1,-1628,HOME_WORKOUT
5817,4722,2,1095,MODERATE_WALK
6113,5567,0,546,MODERATE_WALK
10233,1570,7,8663,HOME_WORKOUT
9604,9193,2,411,HOME_WORKOUT
14967,12177,4,2790,HOME_WORKOUT
7977,11258,2,-3281,HOME_WORKOUT
3590,2581,1,1009,MODERATE_WALK
5326,4194,5,1132,MODERATE_WALK
6724,3459,2,3265,MODERATE_WALK
9111,5352,4,3759,HOME_WORKOUT
5482,13798,5,-8316,LIGHT_WALK
4110,7608,1,-3498,LIGHT_WALK
10976,7419,6,3557,HOME_WORKOUT
10162,10858,5,-696,RECOVERY_DAY
7635,12994,1,-5359,HOME_WORKOUT
2280,1831,5,449,LIGHT_WALK
7824,6036,6,1788,HOME_WORKOUT
10690,7056,5,3634,HOME_WORKOUT
11683,13540,4,-1857,HOME_WORKOUT
9290,8690,2,600,HOME_WORKOUT
6128,4347,4,1781,MODERATE_WALK
7203,3863,7,3340,HOME_WORKOUT
7861,9223,6,-1362,RECOVERY_DAY
3660,1226,1,2434,MODERATE_WALK
843,2853,3,-2010,LIGHT_WALK
12210,10512,3,1698,HOME_WORKOUT
1016,6152,5,-5136,LIGHT_WALK
6484,6810,6,-326,MODERATE_WALK
9166,1732,3,7434,HOME_WORKOUT
7701,9514,7,-1813,RECOVERY_DAY
9373,11742,5,-2369,RECOVERY_DAY
13394,4091,5,9303,HOME_WORKOUT
4345,12275,3,-7930,LIGHT_WALK
1154,4543,4,-3389,LIGHT_WALK
11002,2365,1,8637,HOME_WORKOUT
10229,8645,7,1584,HOME_WORKOUT
2764,4820,2,-2056,LIGHT_WALK
11621,1427,4,10194,HOME_WORKOUT
11369,8885,4,2484,HOME_WORKOUT
14231,4890,0,9341,HOME_WORKOUT
12585,2814,6,9771,HOME_WORKOUT
14800,10436,7,4364,RECOVERY_DAY
5091,7843,3,-2752,LIGHT_WALK
9355,1112,0,8243,HOME_WORKOUT
5795,9510,3,-3715,LIGHT_WALK
14955,2840,0,12115,HOME_WORKOUT
3441,2422,7,1019,MODERATE_WALK
4431,9230,6,-4799,LIGHT_WALK
14179,2925,6,11254,HOME_WORKOUT
6644,7200,5,-556,MODERATE_WALK
14129,10457,4,3672,HOME_WORKOUT
4121,3093,7,1028,MODERATE_WALK
13914,10891,1,3023,HOME_WORKOUT
10005,8100,6,1905,HOME_WORKOUT
824,13714,0,-12890,LIGHT_WALK
716,8478,5,-7762,LIGHT_WALK
6374,2378,1,3996,MODERATE_WALK
13919,1858,3,12061,HOME_WORKOUT
6423,5463,3,960,MODERATE_WALK
13753,3698,4,10055,HOME_WORKOUT
7672,12591,1,-4919,HOME_WORKOUT
11216,7287,0,3929,HOME_WORKOUT
9242,5492,6,3750,HOME_WORKOUT
13706,7235,5,6471,HOME_WORKOUT
4650,9492,0,-4842,LIGHT_WALK
10091,7682,5,2409,HOME_WORKOUT
11012,3188,2,7824,HOME_WORKOUT
1160,3586,1,-2426,LIGHT_WALK
672,13420,6,-12748,LIGHT_WALK
2986,8748,4,-5762,LIGHT_WALK
6415,7507,1,-1092,MODERATE_WALK
2808,4873,3,-2065,LIGHT_WALK
10165,11699,4,-1534,HOME_WORKOUT
10234,8473,1,1761,HOME_WORKOUT
2288,11644,7,-9356,LIGHT_WALK
818,13387,1,-12569,LIGHT_WALK
14409,9334,3,5075,HOME_WORKOUT
11478,9376,6,2102,RECOVERY_DAY
13281,3150,4,10131,HOME_WORKOUT
7508,3349,4,4159,HOME_WORKOUT
4578,9827,1,-5249,LIGHT_WALK
561,8641,4,-8080,LIGHT_WALK
7587,2216,1,5371,HOME_WORKOUT
7064,11679,2,-4615,HOME_WORKOUT
8095,2490,1,5605,HOME_WORKOUT
2068,4432,7,-2364,LIGHT_WALK
14737,1142,0,13595,HOME_WORKOUT
706,9293,7,-8587,LIGHT_WALK
2286,1198,5,1088,LIGHT_WALK
2409,2781,1,-372,LIGHT_WALK
4326,8196,5,-3870,LIGHT_WALK
14553,11704,1,2849,HOME_WORKOUT
6166,12922,2,-6756,LIGHT_WALK
5948,6209,5,-261,MODERATE_WALK
6678,11393,0,-4715,LIGHT_WALK
11786,7024,5,4762,HOME_WORKOUT
7636,5181,1,2455,HOME_WORKOUT
4096,8220,2,-4124,LIGHT_WALK
3218,8567,7,-5349,LIGHT_WALK
3936,6738,5,-2802,LIGHT_WALK
3073,2564,7,509,MODERATE_WALK
3247,5924,1,-2677,LIGHT_WALK
10046,5432,0,4614,HOME_WORKOUT
8519,2960,2,5559,HOME_WORKOUT
6625,12294,1,-5669,LIGHT_WALK
9898,9245,2,653,HOME_WORKOUT
14792,1737,7,13055,HOME_WORKOUT
1468,9946,2,-8478,LIGHT_WALK
8000,8606,2,-606,HOME_WORKOUT
14640,4821,6,9819,HOME_WORKOUT
6791,10230,6,-3439,LIGHT_WALK
13072,3225,6,9847,HOME_WORKOUT
12261,5924,7,6337,HOME_WORKOUT
7107,12800,6,-5693,RECOVERY_DAY
11310,10998,4,312,HOME_WORKOUT
6414,6952,1,-538,MODERATE_WALK
9733,3072,0,6661,HOME_WORKOUT
2004,10747,5,-8743,LIGHT_WALK
5721,1218,5,4503,MODERATE_WALK
633,10828,7,-10195,LIGHT_WALK
8531,3310,0,5221,HOME_WORKOUT
4649,11583,2,-6934,LIGHT_WALK
4694,2620,6,2074,MODERATE_WALK
7822,1230,5,6592,HOME_WORKOUT
666,3090,3,-2424,LIGHT_WALK
14233,1188,4,13045,HOME_WORKOUT
3630,1787,2,1843,MODERATE_WALK
10268,9875,4,393,HOME_WORKOUT
666,2519,2,-1853,LIGHT_WALK
9420,3661,4,5759,HOME_WORKOUT
725,9341,7,-8616,LIGHT_WALK
5007,1301,7,3706,MODERATE_WALK
11928,8708,2,3220,HOME_WORKOUT
13059,8644,1,4415,HOME_WORKOUT
8760,6235,6,2525,HOME_WORKOUT
7402,12661,6,-5259,RECOVERY_DAY
4249,7037,0,-2788,LIGHT_WALK
11482,5050,3,6432,HOME_WORKOUT
3174,1249,3,1925,MODERATE_WALK
4985,10354,2,-5369,LIGHT_WALK
10480,3277,5,7203,HOME_WORKOUT
3815,13381,2,-9566,LIGHT_WALK
5641,3740,7,1901,MODERATE_WALK
13033,11712,3,1321,HOME_WORKOUT
3435,11244,7,-7809,LIGHT_WALK
12370,8263,2,4107,HOME_WORKOUT
4091,11332,6,-7241,LIGHT_WALK
849,6172,3,-5323,LIGHT_WALK
1547,5258,5,-3711,LIGHT_WALK
6578,7869,1,-1291,MODERATE_WALK
7318,9665,5,-2347,RECOVERY_DAY
1451,1584,3,-133,LIGHT_WALK
3261,1904,7,1357,MODERATE_WALK
13186,7670,0,5516,HOME_WORKOUT
8804,4966,2,3838,HOME_WORKOUT
13471,10979,2,2492,HOME_WORKOUT
8900,10390,3,-1490,HOME_WORKOUT
11815,9510,7,2305,RECOVERY_DAY
8442,10936,6,-2494,RECOVERY_DAY
10015,11705,0,-1690,HOME_WORKOUT
9172,9734,0,-562,HOME_WORKOUT
9940,7287,6,2653,HOME_WORKOUT
11888,12330,4,-442,HOME_WORKOUT
2242,9651,4,-7409,LIGHT_WALK
7059,8570,7,-1511,HOME_WORKOUT
7510,6117,4,1393,HOME_WORKOUT
2506,12980,0,-10474,LIGHT_WALK
5350,4521,0,829,MODERATE_WALK
1201,1545,5,-344,LIGHT_WALK
1680,6908,7,-5228,LIGHT_WALK
9019,11407,2,-2388,HOME_WORKOUT
6556,8279,3,-1723,LIGHT_WALK
3544,1101,7,2443,MODERATE_WALK
4760,13179,5,-8419,LIGHT_WALK
2828,4641,5,-1813,LIGHT_WALK
5675,5613,5,62,MODERATE_WALK
2836,7730,1,-4894,LIGHT_WALK
9709,2130,1,7579,HOME_WORKOUT
5149,10143,7,-4994,LIGHT_WALK
2628,6448,3,-3820,LIGHT_WALK
9458,5078,1,4380,HOME_WORKOUT
12705,10025,4,2680,HOME_WORKOUT
12553,6349,2,6204,HOME_WORKOUT
13210,4477,2,8733,HOME_WORKOUT
4338,11361,2,-7023,LIGHT_WALK
6282,2331,2,3951,MODERATE_WALK
11823,2976,2,8847,HOME_WORKOUT
8249,3914,5,4335,HOME_WORKOUT
1304,13823,7,-12519,LIGHT_WALK
9517,5580,1,3937,HOME_WORKOUT
6688,5102,4,1586,MODERATE_WALK
3922,8677,1,-4755,LIGHT_WALK
3543,6096,2,-2553,LIGHT_WALK
623,7192,0,-6569,LIGHT_WALK
8771,8817,4,-46,HOME_WORKOUT
3369,6717,4,-3348,LIGHT_WALK
11598,6150,6,5448,HOME_WORKOUT
5078,1499,1,3579,MODERATE_WALK
11650,2885,2,8765,HOME_WORKOUT
2147,1160,4,987,LIGHT_WALK
11325,12053,3,-728,HOME_WORKOUT
6669,8733,5,-2064,LIGHT_WALK
10896,3429,4,7467,HOME_WORKOUT
12785,3289,3,9496,HOME_WORKOUT
10914,8847,3,2067,HOME_WORKOUT
13020,12822,0,198,HOME_WORKOUT
13409,11662,0,1747,HOME_WORKOUT
12916,3877,0,9039,HOME_WORKOUT
5504,3619,7,1885,MODERATE_WALK
4807,9226,5,-4419,LIGHT_WALK
1285,11846,3,-10561,LIGHT_WALK
13325,1372,3,11953,HOME_WORKOUT
9617,8779,5,838,HOME_WORKOUT
12404,5191,6,7213,HOME_WORKOUT
1377,3812,0,-2435,LIGHT_WALK
5459,8958,4,-3499,LIGHT_WALK
10285,13189,7,-2904,RECOVERY_DAY
12646,5581,2,7065,HOME_WORKOUT
9528,7820,3,1708,HOME_WORKOUT
6617,11303,3,-4686,LIGHT_WALK
12879,6267,3,6612,HOME_WORKOUT
1368,12089,6,-10721,LIGHT_WALK
4543,11255,7,-6712,LIGHT_WALK
1076,10707,2,-9631,LIGHT_WALK
7237,9436,1,-2199,HOME_WORKOUT
1009,1138,1,-129,LIGHT_WALK
10222,12439,7,-2217,RECOVERY_DAY
3718,13364,0,-9646,LIGHT_WALK
5097,7968,4,-2871,LIGHT_WALK
12235,2435,5,9800,HOME_WORKOUT
1025,5935,5,-4910,LIGHT_WALK
13456,8327,2,5129,HOME_WORKOUT
8255,1102,5,7153,HOME_WORKOUT
11141,11393,6,-252,RECOVERY_DAY
7250,9516,5,-2266,RECOVERY_DAY
10121,6363,3,3758,HOME_WORKOUT
4084,13424,3,-9340,LIGHT_WALK
4433,1832,3,2601,MODERATE_WALK
11610,4075,2,7535,HOME_WORKOUT
7220,6356,1,864,HOME_WORKOUT
1883,7668,1,-5785,LIGHT_WALK
4637,5409,0,-772,MODERATE_WALK
